Name,Address
Fairview Mall,"1800 Sheppard Ave E, Toronto, ON M2J 5A7"
Scarborough Town Centre,"300 Borough Dr, Scarborough, ON M1P 4P5"
Sherway Gardens,"25 The West Mall, Etobicoke, ON M9C 1B8"
Toronto Eaton Centre,"220 Yonge St, Toronto, ON M5B 2H1"
Yorkdale Shopping Centre,"3401 Dufferin St, Toronto, ON M6A 2T9"
Albion Centre,"1530 Albion Rd, Etobicoke, ON M9V 1B4"
Agincourt Mall,"3850 Sheppard Ave E, Scarborough, ON M1R 3L4"
Bayview Village Shopping Centre,"2901 Bayview Ave, North York, ON M2K 1E6"
Bridlewood Mall,"2900 Warden Ave., Scarborough, ON M1W 2S8"
Cedarbrae Mall,"3495 Lawrence Ave E, Toronto, ON M1H 1B2"
Centerpoint Mall ,"6464 Yonge St, North York, ON M2M 3X4"
Cloverdale Mall,"250 The East Mall, Toronto, ON M9B 3Y8"
Dufferin Mall,"900 Dufferin St, Toronto, ON M6H 4A9"
East York Town Centre,"45 Overlea Blvd, Toronto, ON M4H 1C2"
Gerrard Square,"1000 Gerrard St E, Toronto, ON M4M 3G6"
Eglinton Square Shopping Centre,"20 Eglinton Square, Scarborough, ON M1L 2K1"
Jane-Finch Mall,"1911 Finch Ave W, North York, ON M3N 2V2"
Lawrence Allen Centre,"700 Lawrence Ave W, North York, ON M6A 3B4"
Malvern Town Centre,"31 Tapscott Rd, Scarborough, ON M1B 4Y7"
North York Sheridan Mall,"1700 Wilson Ave, North York, ON M3L 1B2"
Parkway Mall,"85 Ellesmere Rd, Scarborough, ON M1R 4B9"
Woodbine Centre,"500 Rexdale Blvd, Etobicoke, ON M9W 6K5"
Woodside Square,"1571 Sandhurst Cir, Scarborough, ON M1V 1V2"
Splendid China Mall,"4675 Steeles Ave E, Scarborough, ON M1V 4S4"
Atrium,"595 Bay St., Toronto, ON M5G 2C2"
Canada Square,"2200 Yonge St, Toronto, ON M4S 2C6"
Chinatown Centre,"222 Spadina Ave., Toronto, ON M5T 3B3"
College Park,"444 Yonge St, Toronto, ON M5B 2H4"
The Crossways,"2340 Dundas St W, Toronto, ON M6P 4A9"
Cumberland Terrace,"820 Yonge St, Toronto, ON M4W 3T3"
Dragon City Mall,"280 Spadina Ave., Toronto, ON M5T 3A5"
Dynasty Centre,"8 Glen Watford Dr, Scarborough, ON M1S 2C1"
Empress Walk,"5095 Yonge St, North York, ON M2N 6Y7"
Holt Renfrew Centre,"50 Bloor St W, Toronto, ON M4W 3L8"
Hudson's Bay Centre,"44 Bloor St E, Toronto, ON M4W 3H7"
Manulife Centre,"55 Bloor St W, Toronto, ON M4W 1A5"
Sheppard Centre,"4841 Yonge St, North York, ON M2N 5X2"
Yonge Eglinton Centre,"2300 Yonge St, Toronto, ON M4P 1E4"
Yorkville Village,"55 Avenue Rd, Toronto, ON M5R 3L2"
York Mills Centre,"4025 Yonge St, North York, ON M2P 2E3"
Chartwell Plaza,"2301 Brimley Rd, Scarborough, ON M1S 5B8"
Iranian Plaza,"6075 Yonge St, North York, ON M2M 3W7"
Lawrence Plaza,"534 Lawrence Ave W, North York, ON M6A 1A2"
Peanut Plaza,"3000 Don Mills Rd E, North York, ON M2J 3B6"
Sheppard Plaza,"638 Sheppard Ave W, North York, ON M3H 2S1"
Shops at Don Mills,"1090 Don Mills Rd., Toronto, ON M3C 3R6"
Victoria Terrace Shopping Centre,"1448 Lawrence Ave E, North York, ON M4A 2S8"
Whiteshield Plaza,"2300 Lawrence Ave E, Scarborough, ON M1P 2K9"
York Mills Gardens,"808 York Mills Rd, North York, ON M3B 1X8"
